측정ID,시각,지점명,권역,위도,경도,Ta,RH,v,Tmrt,PET,Ts,볕,태양고도,SVF,TVF,BVF,앱_SVF,앱_GVI,앱_BVI,앱_유효,앱_입력_기온,앱_입력_풍속,앱_입력_습도,실측당시_앱pVPTI,엔진예측_PET,엔진예측_Tmrt,tier3_svf,tier3_gvi,tier3_bvi,ndvi30,lst30,run_A_Tmrt,run_A_PET,run_B_Tmrt,run_B_PET,run_C_Tmrt,run_C_PET,run_D_Tmrt,run_D_PET
20260820_서제2동_02,2026-08-20 12:40:00,서제2동,서제2동,35.21328,129.10115,34.6,44.8,1.0,61.23,46.45,49.25,1,67.1,0.66,0.0277,0.3123,0.978,0.0,0.43,무효-인근대체(47m),31.8,1.7,58,39.4,44.0,69.43,0.7842,0.0076,0.4328,0.0961826805883481,48.99867838123797,50.73,35.49,50.91,35.9,53.46,40.24,53.51,40.5
20260820_서제2동_03,2026-08-20 12:46:00,서제2동,서제2동,35.21368,129.10199,34.7,47.2,0.7,55.07,45.01,53.15,1,66.8,0.5938,0.0256,0.3805,0.579,0.0,0.594,유효,31.8,1.7,58,39.1,44.7,70.35,0.7351,0.0254,0.4792,0.0822047987305207,49.42156339899163,51.08,36.34,50.85,35.98,54.27,42.31,54.4,42.63
20260820_서제2동_04,2026-08-20 12:50:00,서제2동,서제2동,35.21405,129.10217,34.8,46.3,0.6,58.81,47.3,50.89,1,66.7,0.6914,0.0132,0.2954,0.073,0.0,0.496,유효,31.8,1.7,58,39.6,44.8,70.54,0.6937,0.0045,0.511,0.0392461287365331,49.253682226278265,50.83,37.19,51.0,36.1,54.65,43.01,54.59,42.99
20260820_서제2동_05,2026-08-20 12:55:00,서제2동,서제2동,35.21453,129.10304,35.4,45.0,0.9,57.15,45.72,51.02,1,66.4,0.657,0.0166,0.3264,0.935,0.0,0.395,유효,32.0,2.1,56,38.4,45.1,70.32,0.7172,0.0029,0.4535,0.0783853533685692,49.28638440412746,50.41,34.87,50.6,35.31,54.62,42.24,54.6,42.34
20260820_서제2동_06,2026-08-20 13:00:00,서제2동,서제2동,35.21478,129.10243,33.0,53.8,1.1,38.32,35.91,40.42,1,66.0,0.7568,0.0173,0.2259,0.921,0.0,0.527,무효-인근대체(49m),32.0,2.1,56,38.7,42.8,68.04,0.5937,0.0327,0.5243,0.058920934404927,49.61149200661193,50.43,34.9,50.51,35.51,52.55,39.22,52.54,38.92
20260820_서제2동_07,2026-08-20 13:04:00,서제2동,서제2동,35.2151,129.10244,34.1,47.5,0.0,37.21,38.44,51.33,0,65.7,0.3058,0.0007,0.6934,0.002,0.0,0.426,무효-분석부실,32.0,2.1,56,38.1,38.2,46.59,0.8236,0.0198,0.4587,0.025502467700149,49.53318487760937,34.16,30.85,39.08,31.53,40.95,39.77,37.85,38.06
20260820_서제2동_08,2026-08-20 13:08:00,서제2동,서제2동,35.2155,129.10159,34.8,45.8,0.4,39.9,38.75,51.51,0,65.4,0.6571,0.0943,0.2486,0.677,0.0,0.497,유효,32.0,2.1,56,38.8,39.1,48.17,0.6107,0.0,0.5356,0.072131514450034,49.266594706006686,38.42,31.47,38.1,31.44,40.39,37.3,40.58,37.37
20260820_서제2동_09,2026-08-20 13:12:00,서제2동,서제2동,35.21568,129.10013,35.8,42.7,0.6,59.11,47.94,58.32,0,65.1,0.6682,0.052,0.2798,0.843,0.001,0.343,유효,32.0,2.1,56,38.3,40.0,48.9,0.5401,0.0017,0.5225,0.1096694613584721,49.77532831590607,39.13,31.53,37.71,31.4,40.74,37.43,41.37,37.59
20260820_서제2동_10,2026-08-20 13:16:00,서제2동,서제2동,35.21589,129.1002,34.6,44.2,1.0,63.58,47.5,53.51,1,64.7,0.8063,0.0255,0.1682,0.843,0.001,0.343,유효,32.0,2.1,56,38.3,43.8,68.84,0.8463,0.0073,0.3375,0.0995768881222858,49.77959562881905,50.52,35.07,50.49,35.05,53.26,39.95,53.22,40.01
20260820_서제2동_11,2026-08-20 13:19:00,서제2동,서제2동,35.21638,129.09897,36.6,41.1,0.4,51.15,45.32,54.58,1,64.4,0.8221,0.0147,0.1633,0.007,0.001,0.336,무효-분석부실,32.0,2.1,56,30.3,46.3,71.68,0.8752,0.0245,0.4092,0.0598677511657734,49.54537744449291,50.38,36.49,50.38,34.98,55.83,45.64,56.0,45.8
